,אזור המכירה:,בעלות נוכחית,בעלות קודמת,זיהום מירבי,טסט עד,יד,מוכן להחלפה,מותאם לנכים,סוג,סוג מנוע,סמ״ק,צבע,קילומטראז',שנה,תאריך עליה לכביש,תיבת הילוכים,שם הסוכנות:,מחיר
12,תל אביב יפו,פרטית,,12,07/2022,1,לא,לא,ניסאן קשקאי,בנזין,1197,לבן פנינה,"21,000",2017,07/2017,אוטומט,,
13,חדרה,ליסינג,,2,09/2022,1,כן,לא,יונדאי איוניק,בנזין,1580,לבן,"125,000",2018,09/2018,אוטומט,כפיר עסקי רכב,
14,הרצליה,פרטית,פרטית,15,04/2022,3,לא,לא,אאודי Q5,בנזין,1984,לבן,170,2013,04/2013,אוטומט,,
15,רעננה,פרטית,פרטית,15,11/2022,2,לא,לא,קיה ספורטז',בנזין,1998,שחור מטאלי,"102,000",2014,10/2014,אוטומט,,
16,רמת גן,פרטית,פרטית,15,12/2021,2,לא,לא,אאודי Q5,בנזין,1984,כסוף,"300,000",2012,01/2012,אוטומט,,
17,אילת,ליסינג,,10,04/2022,1,לא,לא,סקודה קודיאק,דיזל,1968,כסוף,"73,500",2019,04/2019,אוטומט,,
18,חיפה,פרטית,,15,02/2022,1,לא,לא,קיה ספורטז',בנזין,1999,שחור,"64,000",2019,02/2019,אוטומט,,
19,אשדוד,ייבוא מקביל,,2,01/2023,1,כן,לא,מרצדס E-Class,היברידי חשמל / בנזין,1991,לבן,,2022,,אוטומט,טל מרצי רכבי יוקרה,
20,פתח תקווה,פרטית,,14,09/2022,1,לא,לא,סיטרואן C5,דיזל,1997,לבן,"10,294",2020,09/2020,אוטומט,כלמוביל טרייד אין,
21,פתח תקווה,פרטית,,15,,1,כן,לא,אאודי Q8,דיזל,2967,לבן פנינה,"17,000",2020,01/2020,אוטומט,"חברת המזרח לשיווק מכוניות (1994) בע""מ",
22,כרמיאל,ליסינג,,11,01/2022,1,כן,לא,טויוטה קורולה,בנזין,1598,אפור,"96,293",2018,,אוטומט,אופרייט,
23,טמרה,פרטית,פרטית,15,03/2022,2,כן,לא,שברולט קאמארו,בנזין,3649,סגול,"90,000",2017,03/2017,אוטומט,רכב מהדי,
24,באר שבע,פרטית,,9,01/2023,0,לא,לא,רנו קליאו דור 5 (2019 ואילך),בנזין,1332,שחור מטאלי,,2020,01/2020,אוטומט,אופרייט באר שבע,
25,גבעתיים,פרטית,,11,05/2022,1,לא,לא,טויוטה קורולה,בנזין,1598,שחור,"47,000",2018,05/2018,אוטומט,לינה,
26,ראשון לציון,פרטית,,2,08/2022,0,כן,לא,וולוו XC60,היברידי חשמל / בנזין,1969,לבן,,2021,08/2021,אוטומט,אוטומקס,
27,אשקלון,פרטית,,12,,1,כן,לא,מרצדס E-Class,היברידי חשמל / בנזין,1991,אפור,"49,000",2020,,אוטומט,show cars,
28,ראשון לציון,פרטית,,15,,1,לא,לא,אינפיניטי QX60,בנזין,3498,שחור מטאלי,"20,000",2019,05/2019,אוטומט,אינפיניטי טרייד אין,
29,חולון,פרטית,פרטית,14,05/2022,3,כן,לא,יונדאי i30,בנזין,1591,שחור,"170,000",2011,05/2011,אוטומט,Y MOTORS,
30,ראשון לציון,פרטית,,1,,0,כן,לא,ב.מ.וו iX3,חשמלי,,שחור מטאלי,,2021,12/2021,אוטומט,אוטומקס,
31,אשדוד,ייבוא מקביל,,1,11/2022,0,כן,לא,סיאט לאון,היברידי חשמל / בנזין,1395,לבן מטאלי,,2021,11/2021,אוטומט,ביי קאר BUY CAR,
32,כל הארץ,חברה,,9,,1,כן,לא,מרצדס CLA,בנזין,1332,לבן,,2022,,אוטומט,ביי אנד דרייב,
33,תימורים,פרטית,פרטית,15,10/2022,3,לא,לא,ב.מ.וו X3,בנזין,1997,לבן פנינה,"48,000",2017,10/2017,אוטומט,,
34,קרית מלאכי,פרטית,,3,06/2022,1,לא,לא,מרצדס GLE,היברידי חשמל / בנזין,2996,לבן,"85,000",2018,06/2018,אוטומט,,
35,כפר מנדא,פרטית,,15,01/2022,1,לא,לא,שברולט טראוורס,בנזין,3564,שחור,"79,823",2017,01/2017,אוטומט,,
36,נתניה,פרטית,פרטית,15,10/2022,2,לא,לא,אלפא רומיאו סטלויו,בנזין,1995,לבן,"27,000",2018,10/2018,אוטומט,,
37,כפר תבור,פרטית,פרטית,15,06/2022,3,לא,לא,לנד רובר ריינג' רובר איווק,בנזין,1999,לבן,"100,000",2015,06/2015,אוטומט,,
38,פרדס חנה כרכור,פרטית,פרטית,15,05/2022,4,כן,לא,ב.מ.וו X5,דיזל,3000,לבן מטאלי,"240,000",2011,12/2011,אוטומט,,
39,נתניה,חברה,ליסינג,15,02/2022,2,לא,לא,קיה ספורטז',בנזין,1591,שחור מטאלי,"150,330",2015,02/2015,אוטומט,,
40,רמת גן,פרטית,,2,04/2022,1,לא,לא,פורשה קאיין,היברידי חשמל / בנזין,2995,שחור,"54,000",2018,04/2018,אוטומט,,
41,בית שמש,פרטית,פרטית,NaN,08/2022,2,לא,לא,האמר H3,בנזין,3653,שחור מטאלי,"155,000",2009,08/2009,אוטומט,,
42,חיפה,פרטית,,15,01/2023,1,לא,לא,קאדילק XT5,בנזין,3649,כסוף מטאלי,"57,000",2018,,אוטומט,,
43,זכרון יעקב,פרטית,פרטית,14,08/2022,3,לא,לא,ניסאן קשקאי,בנזין,1197,חום מטאלי,"88,000",2015,08/2015,אוטומט,,
44,בלפוריה,פרטית,פרטית,15,09/2022,2,לא,לא,אאודי Q7,דיזל,2967,אפור מטאלי,"126,300",2016,09/2016,אוטומט,,
45,תל אביב יפו,פרטית,,12,07/2022,1,לא,לא,ניסאן קשקאי,בנזין,1197,לבן פנינה,"21,000",2017,07/2017,אוטומט,,
46,חדרה,ליסינג,,2,09/2022,1,כן,לא,יונדאי איוניק,בנזין,1580,לבן,"125,000",2018,09/2018,אוטומט,כפיר עסקי רכב,
47,הרצליה,פרטית,פרטית,15,04/2022,3,לא,לא,אאודי Q5,בנזין,1984,לבן,170,2013,04/2013,אוטומט,,
48,רעננה,פרטית,פרטית,15,11/2022,2,לא,לא,קיה ספורטז',בנזין,1998,שחור מטאלי,"102,000",2014,10/2014,אוטומט,,
49,רמת גן,פרטית,פרטית,15,12/2021,2,לא,לא,אאודי Q5,בנזין,1984,כסוף,"300,000",2012,01/2012,אוטומט,,
50,אילת,ליסינג,,10,04/2022,1,לא,לא,סקודה קודיאק,דיזל,1968,כסוף,"73,500",2019,04/2019,אוטומט,,
51,חיפה,פרטית,,15,02/2022,1,לא,לא,קיה ספורטז',בנזין,1999,שחור,"64,000",2019,02/2019,אוטומט,,
52,אשדוד,ייבוא מקביל,,2,01/2023,1,כן,לא,מרצדס E-Class,היברידי חשמל / בנזין,1991,לבן,,2022,,אוטומט,טל מרצי רכבי יוקרה,
53,פתח תקווה,פרטית,,14,09/2022,1,לא,לא,סיטרואן C5,דיזל,1997,לבן,"10,294",2020,09/2020,אוטומט,כלמוביל טרייד אין,
54,פתח תקווה,פרטית,,15,,1,כן,לא,אאודי Q8,דיזל,2967,לבן פנינה,"17,000",2020,01/2020,אוטומט,"חברת המזרח לשיווק מכוניות (1994) בע""מ",
55,כרמיאל,ליסינג,,11,01/2022,1,כן,לא,טויוטה קורולה,בנזין,1598,אפור,"96,293",2018,,אוטומט,אופרייט,
56,טמרה,פרטית,פרטית,15,03/2022,2,כן,לא,שברולט קאמארו,בנזין,3649,סגול,"90,000",2017,03/2017,אוטומט,רכב מהדי,
57,באר שבע,פרטית,,9,01/2023,0,לא,לא,רנו קליאו דור 5 (2019 ואילך),בנזין,1332,שחור מטאלי,,2020,01/2020,אוטומט,אופרייט באר שבע,
58,גבעתיים,פרטית,,11,05/2022,1,לא,לא,טויוטה קורולה,בנזין,1598,שחור,"47,000",2018,05/2018,אוטומט,לינה,
59,ראשון לציון,פרטית,,2,08/2022,0,כן,לא,וולוו XC60,היברידי חשמל / בנזין,1969,לבן,,2021,08/2021,אוטומט,אוטומקס,
60,אשקלון,פרטית,,12,,1,כן,לא,מרצדס E-Class,היברידי חשמל / בנזין,1991,אפור,"49,000",2020,,אוטומט,show cars,
61,ראשון לציון,פרטית,,15,,1,לא,לא,אינפיניטי QX60,בנזין,3498,שחור מטאלי,"20,000",2019,05/2019,אוטומט,אינפיניטי טרייד אין,
62,חולון,פרטית,פרטית,14,05/2022,3,כן,לא,יונדאי i30,בנזין,1591,שחור,"170,000",2011,05/2011,אוטומט,Y MOTORS,
63,ראשון לציון,פרטית,,1,,0,כן,לא,ב.מ.וו iX3,חשמלי,,שחור מטאלי,,2021,12/2021,אוטומט,אוטומקס,
64,אשדוד,ייבוא מקביל,,1,11/2022,0,כן,לא,סיאט לאון,היברידי חשמל / בנזין,1395,לבן מטאלי,,2021,11/2021,אוטומט,ביי קאר BUY CAR,
65,כל הארץ,חברה,,9,,1,כן,לא,מרצדס CLA,בנזין,1332,לבן,,2022,,אוטומט,ביי אנד דרייב,
66,הרצליה,פרטית,ליסינג,8,06/2022,2,לא,לא,סוזוקי SX4 קרוסאובר,בנזין,1586,לבן,"165,000",2014,06/2014,אוטומט,סיגל,
67,כל הארץ,חברה,,12,,1,כן,לא,מאזדה 6,בנזין,1998,לבן,,2021,,אוטומט,ביי אנד דרייב,
68,רמת השרון,פרטית,,4,10/2022,1,כן,לא,רנו מגאן גראנד קופה,דיזל,1461,לבן פנינה,"32,000",2019,10/2019,אוטומט,יניב,
69,בני ברק,פרטית,,2,01/2022,1,לא,לא,פורשה פאנאמרה,היברידי חשמל / בנזין,2894,שחור מטאלי,"35,000",2020,01/2020,אוטומט,אוטודיל,
70,נתניה,פרטית,,15,11/2022,1,לא,לא,ניסאן אקס טרייל,בנזין,1332,לבן פנינה,"7,000",2020,11/2020,אוטומט,,
71,רעננה,פרטית,,14,01/2024,1,כן,לא,מיצובישי אקליפס קרוס,בנזין,1499,ברונזה,"9,500",2021,01/2021,אוטומט,,
72,אזור,פרטית,,14,06/2022,1,לא,לא,ב.מ.וו X2,בנזין,1499,לבן,"23,000",2019,06/2019,אוטומט,,
73,רעננה,פרטית,פרטית,15,06/2022,3,לא,לא,מרצדס ML Class,דיזל,2143,לבן,"179,400",2012,06/2012,אוטומט,,
74,אשדוד,פרטית,,14,03/2023,1,לא,לא,אאודי Q5,בנזין,1984,לבן,"8,000",2021,03/2021,אוטומט,,
75,גבע כרמל,פרטית,,15,01/2022,1,לא,לא,אאודי Q5,בנזין,1984,אפור מטאלי,"31,000",2020,01/2020,אוטומט,,
76,קרית אתא,פרטית,,15,10/2022,1,לא,לא,פורד אקספלורר,בנזין,3497,זהב מטאלי,"74,000",2017,11/2017,אוטומט,,
77,אשדוד,פרטית,פרטית,15,06/2022,2,לא,לא,אאודי SQ7,דיזל,3956,לבן,"114,000",2018,06/2018,אוטומט,,
78,עכו,פרטית,פרטית,12,09/2022,2,לא,לא,ניסאן קשקאי,בנזין,1197,כסוף,"51,000",2017,09/2017,אוטומט,,
79,סביון,פרטית,,1,02/2022,1,לא,לא,יגואר I-Pace,חשמלי,,שחור,,2020,02/2020,אוטומט,,
80,גמזו,פרטית,,15,,1,לא,לא,לנד רובר ריינג' רובר ספורט,בנזין,1997,שחור מטאלי,"50,000",2020,01/2020,אוטומט,,
81,פתח תקווה,פרטית,,NaN,,1,לא,לא,מרצדס GLA,בנזין,1332,לבן,"12,000",2021,01/2021,אוטומט,,
82,רעננה,פרטית,פרטית,12,05/2022,2,כן,לא,ניסאן קשקאי,בנזין,1197,לבן,"97,000",2016,05/2016,אוטומט,,
83,בת ים,פרטית,,13,10/2022,1,כן,לא,ניסאן ג'וק / Juke,בנזין,1598,צהוב,"105,000",2015,10/2015,אוטומט,ירין מוטורס,
84,קרית טבעון,פרטית,,15,10/2022,1,לא,לא,קיה ספורטז',בנזין,1591,שחור מטאלי,"56,000",2018,10/2018,אוטומט,,
85,עפולה,פרטית,פרטית,15,07/2022,2,לא,לא,מרצדס GLE קופה,בנזין,2996,לבן פנינה,"99,000",2018,07/2018,אוטומט,,
86,ירושלים,פרטית,פרטית,15,04/2022,2,לא,לא,אאודי Q7,דיזל,2967,לבן,"138,000",2017,03/2017,אוטומט,,
87,מצליח,פרטית,,10,07/2022,1,לא,לא,סקודה קארוק,בנזין,1498,לבן מטאלי,"35,000",2020,07/2020,אוטומט,,
88,נתניה,פרטית,פרטית,15,05/2022,2,לא,לא,לקסוס RX300,בנזין,1998,לבן פנינה,"63,000",2019,05/2019,אוטומט,,
89,הרצליה,פרטית,ליסינג,8,06/2022,2,לא,לא,סוזוקי SX4 קרוסאובר,בנזין,1586,לבן,"165,000",2014,06/2014,אוטומט,סיגל,
90,בני ברק,פרטית,,2,01/2022,1,לא,לא,פורשה פאנאמרה,היברידי חשמל / בנזין,2894,שחור מטאלי,"35,000",2020,01/2020,אוטומט,אוטודיל,
91,רמת השרון,פרטית,,4,10/2022,1,כן,לא,רנו מגאן גראנד קופה,דיזל,1461,לבן פנינה,"32,000",2019,10/2019,אוטומט,יניב,
92,כל הארץ,פרטית,,15,,1,כן,לא,וולוו S80,בנזין,1595,אפור,"209,170",2013,,אוטומט,ביי אנד דרייב,
93,טמרה,פרטית,פרטית,13,,2,לא,לא,יונדאי i25,בנזין,1368,לבן,"179,000",2017,,אוטומט,דאניה מוטורס,
94,פתח תקווה,פרטית,פרטית,15,04/2022,2,כן,לא,הונדה אקורד,בנזין,1997,כסוף,"121,293",2011,04/2011,אוטומט,טרייד מוביל,
95,כפר סבא,פרטית,,14,02/2022,1,כן,לא,טויוטה אוריס,בנזין,1598,שחור מטאלי,"163,000",2011,02/2011,אוטומט,דנאל מוטורס בעמ,
96,ראשון לציון,פרטית,פרטית,14,02/2022,2,כן,לא,הונדה סיוויק סדאן החדשה,בנזין,1798,אפור מטאלי,"159,413",2015,02/2015,אוטומט,טרייד מוביל,
97,אשדוד,ייבוא מקביל,,1,11/2022,0,כן,לא,סיאט לאון,היברידי חשמל / בנזין,1395,לבן מטאלי,,2021,11/2021,אוטומט,ביי קאר BUY CAR,
98,חדרה,ליסינג,,12,10/2022,1,לא,לא,מאזדה 3,בנזין,1496,אפור מטאלי,"132,000",2018,10/2018,אוטומט,אופרייט,
99,תל אביב יפו,פרטית,,1,12/2022,0,לא,לא,ב.מ.וו סדרה 3,היברידי חשמל / בנזין,1998,לבן מטאלי,,2021,12/2021,אוטומט,יורו קאר,
100,תל אביב יפו,פרטית,פרטית,NaN,,2,כן,לא,שברולט קורבט,בנזין,6162,אדום,"17,000",2021,,אוטומט,אוטודיל,
101,נתניה,פרטית,פרטית,15,05/2022,3,לא,לא,מאזדה 5,בנזין,1999,אפור מטאלי,"137,000",2011,05/2011,אוטומט,.,
102,תל אביב יפו,פרטית,,1,08/2022,0,כן,לא,מרצדס A-Class,היברידי חשמל / בנזין,1332,לבן,,2021,08/2021,אוטומט,טרייד מוביל,
103,נתניה,פרטית,,3,05/2022,1,כן,לא,מיצובישי ספייס סטאר,בנזין,1193,בורדו,"57,000",2018,05/2018,אוטומט,גורוכובסקי רומן,
104,רעננה,פרטית,ליסינג,8,01/2022,2,לא,לא,רנו קליאו דור 4 (2013-2019),בנזין,1197,אדום מטאלי,"112,000",2016,02/2016,אוטומט,טופ טרייד,
105,תל אביב יפו,פרטית,ליסינג,6,01/2023,3,כן,לא,סקודה פאביה,בנזין,1197,לבן מטאלי,"118,000",2017,01/2017,אוטומט,אוטו מוטורס,
106,תל אביב יפו,פרטית,,14,,1,כן,לא,מרצדס E-Class קופה / קבריולט,בנזין,1991,שחור מטאלי,"16,869",2021,,אוטומט,אוטודיל,
107,רחובות,פרטית,פרטית,15,10/2022,2,לא,לא,אאודי Q5,בנזין,1984,לבן,"128,000",2014,09/2014,אוטומט,,
108,רעננה,פרטית,פרטית,15,01/2022,2,כן,לא,ניסאן אקס טרייל,דיזל,1598,כסוף מטאלי,"140,000",2017,01/2017,אוטומט,,
109,הרצליה,פרטית,,1,,1,לא,לא,אאודי E-tron,חשמלי,,אפור מטאלי,"23,000",2019,09/2019,אוטומט,,
110,באר שבע,פרטית,,14,07/2022,1,לא,לא,סקודה קודיאק,בנזין,1395,אפור מטאלי,"100,500",2017,07/2017,אוטומט,,
111,חיפה,פרטית,,13,10/2022,1,לא,לא,אאודי Q2,בנזין,1395,לבן שנהב,"97,000",2017,10/2017,אוטומט,,
112,חולון,פרטית,,13,07/2022,1,לא,לא,רנו קדגא'ר,בנזין,1197,שחור,"58,000",2017,07/2017,אוטומט,,
113,טבריה,פרטית,פרטית,3,05/2022,2,לא,לא,ב.מ.וו X5,היברידי חשמל / בנזין,1997,לבן פנינה,"43,000",2017,05/2017,אוטומט,,
114,"כפר חב""ד",פרטית,פרטית,15,09/2022,2,לא,לא,אינפיניטי QX60,בנזין,3498,לבן פנינה,"99,000",2016,09/2016,אוטומט,,
115,ירושלים,פרטית,פרטית,15,04/2022,3,לא,כן,קאדילק SRX,בנזין,3564,שחור,"130,000",2015,02/2015,אוטומט,,
116,כפר סבא,פרטית,חברה,15,12/2022,2,לא,לא,פורד אקספלורר,בנזין,3497,שחור מטאלי,"90,000",2017,12/2017,אוטומט,,
117,גדרה,פרטית,פרטית,14,,2,לא,לא,ניסאן קשקאי,בנזין,1197,שחור,"51,453",2015,,אוטומט,,
118,טמרה,פרטית,,7,04/2023,1,כן,לא,ניסאן קשקאי,בנזין,1332,אפור מטאלי,"14,000",2021,04/2021,אוטומט,,
119,ראש העין,פרטית,פרטית,15,11/2022,3,לא,לא,שברולט טראקס,בנזין,1796,לבן מטאלי,"58,500",2015,11/2015,אוטומט,,
120,חדרה,ליסינג,,2,09/2022,1,כן,לא,יונדאי איוניק,בנזין,1580,לבן,"125,000",2018,09/2018,אוטומט,כפיר עסקי רכב,
121,תל עדשים,פרטית,,14,03/2022,1,לא,לא,מיצובישי אקליפס קרוס,בנזין,1499,ברונזה,"40,000",2019,03/2019,אוטומט,,
122,מודיעין מכבים רעות,פרטית,פרטית,2,07/2022,3,לא,לא,לנד רובר ריינג' רובר ספורט,היברידי חשמל / בנזין,1997,לבן מטאלי,"74,000",2018,07/2018,אוטומט,,
123,ראשון לציון,פרטית,,3,,1,לא,כן,מרצדס GLE,היברידי חשמל / בנזין,2996,שחור,"98,000",2017,,אוטומט,,
124,מודיעין מכבים רעות,פרטית,פרטית,15,04/2022,2,לא,לא,פורד אקספלורר,בנזין,3497,אפור מטאלי,"55,000",2019,04/2019,אוטומט,,
125,נס ציונה,פרטית,,15,06/2022,1,לא,לא,ניסאן אקס טרייל,דיזל,1995,ירוק בקבוק,"100,000",2017,06/2017,אוטומט,,
126,כפר סבא,פרטית,פרטית,15,05/2022,2,לא,לא,שברולט טראקס,בנזין,1364,כסוף מטאלי,"133,000",2014,05/2014,אוטומט,גלי ליסינג מכירת רכב,
127,ראשון לציון,פרטית,,7,02/2022,1,כן,לא,פיג'ו 3008,דיזל,1499,אפור עכבר,"78,277",2020,02/2020,אוטומט,טרייד מוביל,
128,אשקלון,ליסינג,,12,09/2022,1,כן,לא,רנו קדגא'ר,דיזל,1461,לבן שנהב,"269,000",2016,10/2016,אוטומט,ליעד לוגסי,
129,כל הארץ,ליסינג,,8,,1,כן,לא,יונדאי i10,בנזין,1250,אדום,"62,261",2018,,אוטומט,באדג'ט מכירת רכב,
130,תל אביב יפו,פרטית,פרטית,9,02/2023,2,לא,לא,מרצדס CLA,בנזין,1332,לבן מטאלי,"16,500",2020,02/2020,אוטומט,גוגל קאר,
131,רעננה,פרטית,,9,05/2022,1,לא,לא,קיה פיקנטו,בנזין,1248,כסוף,"25,000",2017,05/2017,אוטומט,טופ טרייד,
132,קדימה צורן,פרטית,פרטית,12,03/2022,2,כן,לא,סיאט איביזה,בנזין,1390,לבן,"187,000",2012,03/2012,ידנית,רכב קשת,
133,ראשון לציון,פרטית,,1,,0,כן,לא,ב.מ.וו סדרה 3,היברידי חשמל / בנזין,1988,שחור מטאלי,,2021,12/2021,אוטומט,אוטומקס,
134,ראשון לציון,פרטית,,1,,1,לא,לא,מרצדס CLA,היברידי חשמל / בנזין,1332,לבן,"13,000",2021,08/2021,אוטומט,ט.ש.אור מוטורס,
135,רעננה,פרטית,,3,08/2022,1,לא,לא,טויוטה פריוס הייבריד,בנזין,1798,לבן,"69,000",2018,08/2018,אוטומט,טופ טרייד,
136,אזור,פרטית,,3,08/2022,1,לא,לא,מיצובישי ספייס סטאר,בנזין,1193,כסוף,"41,000",2014,08/2014,אוטומט,מוגלי,
137,חדרה,ליסינג,,7,11/2022,1,לא,לא,סקודה אוקטביה,בנזין,999,אפור מטאלי,"71,000",2018,11/2018,אוטומט,אופרייט,
138,חולון,ליסינג,ליסינג,15,06/2022,2,כן,לא,מאזדה 5,בנזין,1999,שחור מטאלי,"167,000",2011,06/2011,אוטומט,משומר עולם הרכב,
139,בני ברק,פרטית,,15,01/2022,1,לא,לא,אאודי Q8,דיזל,2967,לבן מטאלי,"70,000",2019,01/2019,אוטומט,אוטודיל,
140,תל אביב יפו,פרטית,ליסינג,14,09/2022,3,לא,לא,סקודה אוקטביה,בנזין,1798,ברונזה מטאלי,"120,000",2013,09/2013,אוטומט,אלפא,
141,רעננה,פרטית,,7,12/2022,1,לא,לא,ניסאן מיקרה,בנזין,1198,לבן,"27,700",2019,01/2019,אוטומט,טופ טרייד,
142,חולון,פרטית,פרטית,15,07/2022,2,כן,לא,ניסאן אקס טרייל,דיזל,1598,לבן פנינה,"94,000",2017,07/2017,אוטומט,אילן,
143,ראשון לציון,פרטית,,NaN,,0,כן,לא,מרצדס E-Class,היברידי חשמל / בנזין,1991,שחור מטאלי,,2021,12/2021,אוטומט,אוטומקס,
144,נס ציונה,פרטית,,15,06/2022,1,לא,לא,ניסאן אקס טרייל,דיזל,1995,ירוק בקבוק,"100,000",2017,06/2017,אוטומט,,
145,הוד השרון,פרטית,,15,07/2022,1,לא,לא,לקסוס RX350,בנזין,3456,לבן פנינה,"60,000",2018,08/2018,אוטומט,,
146,אילת,פרטית,פרטית,15,07/2022,3,כן,לא,ב.מ.וו X5,דיזל,2993,כסוף,"186,000",2009,12/2009,אוטומט,,
147,באר שבע,פרטית,פרטית,15,12/2022,2,לא,לא,קיה ספורטז',בנזין,1591,לבן,"90,000",2015,12/2015,אוטומט,,
148,עפולה,פרטית,,15,03/2022,1,לא,לא,מיצובישי ASX,בנזין,1998,חום מטאלי,"105,000",2018,03/2018,אוטומט,,
149,רמת גן,פרטית,,15,09/2022,1,לא,לא,ב.מ.וו X3,בנזין,1998,לבן,"22,000",2019,09/2019,אוטומט,,
150,ראשון לציון,ייבוא אישי,,3,11/2022,1,כן,לא,מרצדס GLE,היברידי חשמל / בנזין,2996,שחור מטאלי,"35,000",2018,11/2018,אוטומט,,
151,תל אביב יפו,פרטית,פרטית,15,02/2022,2,לא,לא,שברולט טראקס,בנזין,1364,שחור מטאלי,"117,000",2014,01/2014,אוטומט,,
152,נתיבות,פרטית,,15,06/2022,1,לא,לא,מרצדס G Class,בנזין,3982,לבן,"48,000",2020,06/2020,אוטומט,,
153,עתלית,פרטית,פרטית,15,06/2022,2,לא,לא,לנד רובר ריינג' רובר ספורט,דיזל,2993,שחור,"210,000",2013,06/2013,אוטומט,,
154,ערד,פרטית,פרטית,14,12/2022,4,לא,לא,ניסאן קשקאי,בנזין,1197,שחור,"107,000",2015,12/2015,אוטומט,,
155,ירושלים,פרטית,פרטית,15,05/2022,5,לא,לא,ב.מ.וו X6,בנזין,4395,שחור,"164,000",2010,05/2010,אוטומט,,
156,אשדוד,פרטית,,14,05/2022,1,לא,לא,שברולט טראקס,בנזין,1364,אפור עכבר,"65,200",2018,,אוטומט,,
157,חולון,פרטית,,15,,1,לא,לא,שברולט טראוורס,בנזין,3564,לבן,"50,000",2019,,אוטומט,אוטו טרייד,
158,זמר,פרטית,פרטית,2,09/2022,2,לא,לא,לנד רובר ריינג' רובר ספורט,היברידי חשמל / בנזין,1997,לבן,"60,000",2019,09/2019,אוטומט,,
159,אשקלון,פרטית,פרטית,15,02/2022,2,כן,לא,לקסוס RX350,בנזין,3456,כסוף,"211,000",2010,02/2010,אוטומט,,
160,בית ג'ן,פרטית,,10,11/2022,1,לא,לא,סקודה קודיאק,דיזל,1968,כסף מטלי,"31,000",2019,11/2019,אוטומט,,
161,הוד השרון,פרטית,,14,05/2023,1,כן,לא,אאודי Q5,בנזין,1984,שחור,"16,000",2021,05/2021,אוטומט,,
162,נצרת עילית / נוף הגליל,פרטית,פרטית,NaN,04/2022,3,כן,לא,מרצדס GL Class,בנזין,4663,שחור מטאלי,"235,000",2009,05/2009,אוטומט,,
163,ראשון לציון,ליסינג,,15,08/2022,1,לא,לא,קיה סורנטו,דיזל,2199,לבן,"99,900",2018,08/2018,אוטומט,OTO-שירות ומכירת רכב,
164,רעננה,פרטית,,11,01/2022,1,לא,לא,מאזדה 3,בנזין,1998,אפור,"14,500",2020,01/2020,אוטומט,טופ טרייד,
165,תל אביב יפו,חברה,,1,09/2022,1,לא,לא,ב.מ.וו סדרה 5,היברידי חשמל / בנזין,1998,לבן,15,2021,09/2021,אוטומט,דלק מוטורס בעמ,
166,אשדוד,ליסינג,,3,03/2022,1,כן,לא,קיה נירו הייבריד,בנזין,1580,כסוף,"86,291",2018,03/2018,אוטומט,אופרייט,
167,כפר אחים,פרטית,פרטית,15,09/2022,5,לא,לא,פולקסווגן שירוקו,בנזין,1390,כחול בהיר מטאלי,"75,000",2014,06/2014,אוטומט,עופר אבו חצירא,
